Date,Open,High,Low,Close,Adj Close,Volume
2022-03-21,163.509995,166.350006,163.009995,165.380005,164.384216,95811400
2022-03-22,165.509995,169.419998,164.910004,168.820007,167.803497,81532000
2022-03-23,167.990005,172.639999,167.649994,170.210007,169.185135,98062700
2022-03-24,171.059998,174.139999,170.210007,174.070007,173.021881,90131400
2022-03-25,173.880005,175.279999,172.750000,174.720001,173.667969,80546200
2022-03-28,172.169998,175.729996,172.000000,175.600006,174.542679,90371900
2022-03-29,176.690002,179.009995,176.339996,178.960007,177.882446,100589400
2022-03-30,178.550003,179.610001,176.699997,177.770004,176.699615,92633200
2022-03-31,177.839996,178.029999,174.399994,174.610001,173.558624,103049300
2022-04-01,174.029999,174.880005,171.940002,174.309998,173.260437,78751300
2022-04-04,174.570007,178.490005,174.440002,178.440002,177.365555,76468400
2022-04-05,177.500000,178.300003,174.419998,175.059998,174.005920,73401800
2022-04-06,172.360001,173.630005,170.130005,171.830002,170.795380,89058800
2022-04-07,171.160004,173.360001,169.850006,172.139999,171.103500,77594700
2022-04-08,171.779999,171.779999,169.199997,170.089996,169.065842,76575500
2022-04-11,168.710007,169.029999,165.500000,165.750000,164.751968,72246700
2022-04-12,168.020004,169.869995,166.639999,167.660004,166.650497,79265200
2022-04-13,167.389999,171.039993,166.770004,170.399994,169.373978,70618900
2022-04-14,170.619995,171.270004,165.039993,165.289993,164.294754,75329400
2022-04-18,163.919998,166.600006,163.570007,165.070007,164.076080,69023900
2022-04-19,165.020004,167.820007,163.910004,167.399994,166.392044,67723800
2022-04-20,168.759995,168.880005,166.100006,167.229996,166.223053,67929800
2022-04-21,168.910004,171.529999,165.910004,166.419998,165.417953,87227800
2022-04-22,166.460007,167.869995,161.500000,161.789993,160.815811,84882400
2022-04-25,161.119995,163.169998,158.460007,162.880005,161.899261,96046400
2022-04-26,162.250000,162.339996,156.720001,156.800003,155.855881,95623200
2022-04-27,155.910004,159.789993,155.380005,156.570007,155.627274,88063200
2022-04-28,159.250000,164.520004,158.929993,163.639999,162.654678,130216800
2022-04-29,161.839996,166.199997,157.250000,157.649994,156.700745,131747600
2022-05-02,156.710007,158.229996,153.270004,157.960007,157.008881,123055300
2022-05-03,158.149994,160.710007,156.320007,159.479996,158.519730,88966500
2022-05-04,159.669998,166.479996,159.259995,166.020004,165.020355,108256500
2022-05-05,163.850006,164.080002,154.949997,156.770004,155.826065,130525300
2022-05-06,156.009995,159.440002,154.179993,157.279999,156.562683,116124600
